Title,Title_URL,serif
What’s new in Airtable views,https://blog.airtable.com/whats-new-in-airtable-views/,"Our point of view: you deserve more ways to manage your views. Here are the features we rolled out this year.
"
Try these Airtable tips to create alignment among remote workers,https://blog.airtable.com/try-these-airtable-tips-to-create-alignment-among-remote-workers/,"Here are some ways you can use Airtable to keep everyone filled in, even when you’re all out of the office.
"
Celebrating Native American Heritage Month with Muscogee Nation,https://blog.airtable.com/celebrating-native-american-heritage-month-with-muscogee-nation/,"This year, Airtable’s Commemorative Observance team is excited to wrap up Native American Heritage Month by sharing the story of one of the amazing organizations out there powered by Airtable: Muscogee Nation!
"
What's new in Airtable: November 2021,https://blog.airtable.com/whats-new-in-airtable-november-2021/,"Interface Designer, Admin Updates, bulk editing, and more
"
"Workflow automation: what it is, and how it can help you get ahead",https://blog.airtable.com/workflow-automation/,"Learn about workflow automation, its benefits, and how to pick the right workflow automation software.
"
How to design a book in Airtable,https://blog.airtable.com/bookdesign/,"A British designer bundled up his “tiny” tips in a project with outsized impact.
"
Launching today: more functionality to manage Airtable at scale,https://blog.airtable.com/new-admin-features-to-manage-airtable-at-scale/,"Calling all admins! We’ve made updates to help you manage users and ensure security as you grow.
"
Military veterans evacuating allies from Afghanistan turned to Airtable for help,https://blog.airtable.com/when-military-veterans-embarked-upon-a-mission-to-evacuate-allies-from-afghanistan-they-turned-to-airtable-to-operationalize-it/,"For Team America Relief, a group of veterans and civilians working to pull people out of Afghanistan, every second counts—switching to Airtable’s no-code platform saved them more than 400 hours a month.
"
The future of marketing is no-code,https://blog.airtable.com/the-future-of-marketing-is-no-code/,"Today’s marketing teams need to be more innovative than ever—our ebook explains how no-code apps can help.
"
Introducing Interface Designer,https://blog.airtable.com/introducing-interface-designer/,"Create interactive applications, unlock power for the enterprise, and more.
"
Cute gets a reboot,https://blog.airtable.com/uncute/,"Artists use Airtable to make shrewd decisions inside their “un-cute” company.
"
Airtable introduces the first complete application builder for enterprise,https://blog.airtable.com/interfacebuilder/,"Today we’re introducing Interface Designer: our new offering to create complete and customized applications with Airtable.
"
Bring your novel to life with Airtable,https://blog.airtable.com/bring-your-novel-to-life-with-airtable/,"November is National Novel Writing Month—here’s how you can use Airtable to start building out your world.
"
Close out your project with these Airtable tips,https://blog.airtable.com/close-out-your-project-with-these-airtable-tips/,"Wrap things up in Airtable so you can move forward with your next campaign or initiative.
"
How to create a Gantt chart in Airtable,https://blog.airtable.com/how-to-create-a-gantt-chart/,"See how your group of related tasks, projects, and activities depend on each other over time with Airtable’s Gantt view.
"
Firefighters turned Airtable into a real-time COVID tracker,https://blog.airtable.com/firefighters-turned-airtable-into-a-real-time-covid-tracker/,"A sleek reporting system saved first responder teams critical hours.
"
What's new in Airtable: October 2021,https://blog.airtable.com/whats-new-in-airtable-october-2021/,"Introducing advanced filters, external source sync, and more.
"
Takeaways from marketing leaders on the future of martech,https://blog.airtable.com/the-future-of-martech/,"We surveyed 300 marketing leaders to get a better sense of what’s shaping the future of martech—here’s what we learned.
"
Process Optimization: The ultimate guide to streamlining your business,https://blog.airtable.com/what-is-process-optimization/,"Want to improve processes at your company? Our guide explains what process optimization is, how it works, and offers tips for implementing change.
"
Airtable Views: 7 essential tips & tricks,https://blog.airtable.com/airtable-views-7-essential-tips-tricks/,"Whether you’re a new Airtable user or an expert, here are ways to get more out of your views.
"
Social Media Automation: Get hours of your life back with Airtable,https://blog.airtable.com/social-media-automation-get-hours-of-your-life-back-with-airtable/,"Streamline manual tasks and see your metrics more clearly.
"
Celebrating Latin & Hispanic Heritage Month with SAP,https://blog.airtable.com/latin-hispanic-heritage-month-sap/,"This year, Airtable’s Commemorative Observance team is excited to wrap up Latin & Hispanic Month by sharing the story of one of the amazing organizations out there powered by Airtable: SAP!
"
A skipper charts a new course,https://blog.airtable.com/a-skipper-charts-a-new-course/,"With help from Airtable, a sailor reinvents himself as a low-code developer.
"
5 ways to manage your deadlines in Airtable,https://blog.airtable.com/how-to-manage-deadlines/,"Keep these quick tips in mind the next time you set your due date, event time, or launch day.
"
How to create an executive summary email in Airtable,https://blog.airtable.com/how-to-create-an-executive-summary-email/,"Set up a custom automation so leadership is always in the know.
"
How to create an org chart in Airtable,https://blog.airtable.com/how-to-create-an-org-chart-in-airtable/,"Automatically build the all-important ‘who’s who’ of your organization.
"
"How to connect Airtable to Tableau, Google Data Studio, and Power BI",https://blog.airtable.com/connect-airtable-tableau-google-data-studio-power-bi/,"Get new insights by connecting your data visualization tools to Airtable.
"
How Airtable used Airtable to crowdsource video production,https://blog.airtable.com/how-airtable-used-airtable-to-crowdsource-video-production/,"The hardest part? Convincing participants to come out of their shells (or their pajamas).
"
How to find the last update in a table,https://blog.airtable.com/how-to-find-the-last-update-in-a-table/,"Keep your team on the same page by tracking your base’s latest updates.
"
What's new in Airtable: September 2021,https://blog.airtable.com/whats-new-in-airtable-september-2021/,"Plus, new mobile discoverability features, a fresh automations interface, and more.
"
How to create an anonymous survey in Airtable,https://blog.airtable.com/how-to-create-an-anonymous-survey-in-airtable/,"Collect all the information you need with the help of flexible and customizable forms.
"
Set work in motion with Airtable’s new Timeline view,https://blog.airtable.com/introducing-airtables-new-timeline-view/,"A flexible, fresh way to visualize and track your resources, events, projects, and more over time.
"
How to switch from spreadsheets to a database,https://blog.airtable.com/blog-how-to-switch-from-spreadsheets-to-a-database/,"Our ebook lays out the limitations of spreadsheets and the benefits of converting your workflow to a database.
"
Managing your team in today’s distributed world,https://blog.airtable.com/managing-your-team-in-todays-distributed-world/,"Our latest ebook is your crash-course on managing distributed teams in a post-COVID world.
"
Investing in content operations,https://blog.airtable.com/investing-in-content-operations/,"Our newest ebook helps teams produce better content, faster.
"
Introduction to Airtable Views,https://blog.airtable.com/introduction-to-airtable-views/,"See the world (and your work) in multiple ways.
"
Video: Adding your first app to an Airtable dashboard,https://blog.airtable.com/video-adding-your-first-app-to-an-airtable-dashboard/,"In this step-by-step tutorial, we’ll show you how to add a “Summary app,” which highlights specific numbers you want to display—whether through the number of records in a given view or a summary value.
"
Working with numbers in Airtable formulas,https://blog.airtable.com/working-with-numbers-in-airtable-formulas/,"Automatically perform calculations with this simple guide to formula fields.
"
What is a Workflow? Everything you need to know,https://blog.airtable.com/what-is-a-workflow/,"Tips and tricks to create the perfect workflow for your company, department, or team.
"
Video: How to create a custom dashboard in Airtable,https://blog.airtable.com/video-how-to-create-a-custom-dashboard-in-airtable/,"See your metrics all in one place with this simple step-by-step tutorial.
"
What's new in Airtable: August 2021,https://blog.airtable.com/whats-new-in-airtable-august-2021/,"Calendar view for iOS is here. Plus, explore new ways to collapse views, preview emails right from within Airtable, and more.
"
Investing in new data visualization capabilities with Bayes,https://blog.airtable.com/investing-in-new-data-visualization-capabilities-with-bayes/,"Airtable is acquiring the team and assets from Bayes to help people better manage complex workflows
"
What's new in Airtable: July 2021,https://blog.airtable.com/whats-new-in-airtable-july-2021/,"Fresh new features to help you schedule, plan, and learn in Airtable.
"
How to send tweets from Airtable,https://blog.airtable.com/how-to-automate-twitter-posts-using-airtable/,"Fewer moving parts means fewer broken pieces.
"
Celebrating Pride Month with NewFest,https://blog.airtable.com/celebrating-pride-month-with-newfest/,"This year, Airtable’s Commemorative Observance team is excited to wrap up Pride Month by sharing the story of one of the amazing organizations out there powered by Airtable: NewFest!
"
How to automate Slack notifications in Airtable,https://blog.airtable.com/how-to-automate-slack-notifications-in-airtable/,"Let the channel know when things change.
"
How GitHub scaled its community building with Airtable,https://blog.airtable.com/how-github-scaled-its-community-building-with-airtable/,"Instead of developing expensive internal tools, code-sharing platform GitHub saves time and money by managing its renowned developer relations programs with Airtable.
"
What's new in Airtable: June 2021,https://blog.airtable.com/whats-new/,"Fresh new features to help you schedule, plan, and learn in Airtable.
"
Staying agile with Airtable Enterprise Services,https://blog.airtable.com/staying-agile-with-airtable-enterprise-services/,"No matter how your team, your company, or your industry changes, our team is here to support your needs—and build the workflows that help you meet them. Here's how.
"
How to build better alignment between your product and marketing teams,https://blog.airtable.com/build-better-alignment-between-product-and-marketing-teams/,"Product and marketing teams do their most impactful work when their goals and work streams are aligned. But getting them on the same page can be easier said than done.
"
Celebrating Asian & Pacific Islander Heritage Month with Asian Leaders Alliance and Hate is a Virus,https://blog.airtable.com/commemorating-asian-american-and-pacific-islander-heritage-month-2021/,"This year, Airtable’s Commemorative Observance team is celebrating Asian & Pacific Islander Heritage Month through the theme of “Steeped in Tradition”, which inspired us to share the stories of the amazing organizations out there powered by Airtable.
"
3 things we learned about productivity from 300 marketing leaders,https://blog.airtable.com/marketing-productivity-trends/,"The way we work with others says a lot about ourselves. We gathered insights from hundreds of senior marketing leaders to understand how they stay productive today—and the struggles they hit along the way.
"
How Meow Wolf is reinventing immersive arts during a pandemic,https://blog.airtable.com/how-meow-wolf-is-reinventing-immersive-arts-during-a-pandemic/,"The innovative arts and entertainment group uses Airtable to power its mind-bending installations
"
Marketing at the speed of change,https://blog.airtable.com/marketing-at-the-speed-of-change/,"The pace of change is accelerating—can the way you work keep up?
"
"What’s new in Airtable: Gantt view, powerful automations, and more",https://blog.airtable.com/whats-new-in-airtable-march-2021/,"Introducing intelligent tools that make Airtable even more intuitive and accessible.
"
Elevate project tracking with Airtable’s new Gantt view,https://blog.airtable.com/gantt-view-product-launch-2021/,"A new, more visual way to track projects.
"
Celebrating Women's History Month with Village Enterprise and Bad Robot,https://blog.airtable.com/celebrating-womens-history-month-with-village-enterprise-and-bad-robot/,"Airtable’s theme for Women’s History Month is Leadership, which inspired us to share the stories of the amazing organizations out there powered by Airtable.
"
20 essential extensions and automations for marketers on Airtable,https://blog.airtable.com/best-apps-integrations-automations-for-marketers/,"Discover indispensable apps, integrations, and automations designed for marketing professionals.
"
How Intuit fuels its customer obsession,https://blog.airtable.com/intuit-airtable-case-study/,"The team behind QuickBooks taps Airtable to power their global research and design operations.
"
How Black Girls CODE and Black Girl Ventures empower and inspire Black women,https://blog.airtable.com/black-girls-code-black-girl-ventures/,"This year, Airtable’s Commemorative Observance team and Airtable’s Employee Resource Group BlackViews are celebrating Black History Month through the theme of “Storytelling,” which inspired us to share the stories of the amazing organizations out there powered by Airtable to do awesome things.
"
"""Beyond the ordinary"": how Red Bull Media House tells stories at a global scale",https://blog.airtable.com/red-bull-media-house-airtable/,"Red Bull Media House is one of the most ambitious media companies in the world, with a portfolio spanning live events, TV, mobile, digital, audio, print, and music. They use Airtable as their global content pipeline to produce 1,250+ events per year and distribute content in 170+ countries.
"
Frame.io and Airtable: Scaling at the speed of innovation,https://blog.airtable.com/frame-io-and-airtable-scalingat-the-speed-of-innovation/,"With Airtable, Frame.io teams are more efficient, better informed, and have the clarity needed to create high-impact products.
"
Connecting a global media empire: how Hearst uses Airtable,https://blog.airtable.com/hearst-airtable-connecting-a-global-media-empire/,"Hearst Magazines' portfolio of more than 25 powerful brands in the U.S. publishes over 300 editions and 245 websites around the world. The company's properties attract more readers of monthly magazines than any other publisher.
"
"The retail industry is changing: here’s what to expect in 2021, according to the data",https://blog.airtable.com/2021-retail-trends/,"COVID-19 has fundamentally shifted the way retail operates. We asked 600+ retailers to share how the year 2020—and the pandemic that defined it—have changed the face of the industry.
"
Take a look at our new mobile views,https://blog.airtable.com/new-mobile-views-kanban-ios/,"With new ways to create, edit, and see views on mobile, it’s easier than ever before to move work forward from anywhere.
"
5 time-saving scripts to automate your workflow without code,https://blog.airtable.com/time-saving-scripts/,"Scripts help reduce the number of manual, repetitive tasks in your workflow. These five script templates can help you unlock the power of script-based automations without code.
"
How to use Airtable integrations: an introduction,https://blog.airtable.com/how-to-use-airtable-integrations/,"An integrated software stack isn’t a luxury; it’s a simple, powerful necessity for building efficient workflows. Airtable can connect yours through integrations.
"
Three movements that inspired us in 2020,https://blog.airtable.com/community-remote-work-no-code-2020/,"From the rise of community to the rapid adoption of remote work around the world,  a lot has changed during 2020.
"
Using Airtable to manage editorial content,https://blog.airtable.com/using-airtable-to-manage-editorial-content/,"Manage and streamline your editorial process with a custom content calendar designed for your team’s workflow needs.
"
The superpower of scripts without the complexity of code,https://blog.airtable.com/script-templates/,"Airtable scripts can help you eliminate manual, repetitive tasks to save time and increase your team's efficiency. Learn how they're more accessible than ever with the launch of script templates in the Airtable Marketplace.
"
3 ways to speed up your team's creative review process,https://blog.airtable.com/3-ways-to-speed-up-your-teams-creative-review-process/,"Are your team’s assets getting stuck in endless, frustrating review cycles? Here are three tips to prevent your team from wasting time during the creative production review process.
"
Give clear feedback and get to approval faster with asset review,https://blog.airtable.com/design-asset-reviews/,"With Airtable’s new asset review feature, you can expedite your team’s creative production process with clear, specific feedback.
"
6 new apps to streamline your workflow,https://blog.airtable.com/6-new-apps-to-streamline-your-workflow/,"Earlier this year, we launched Marketplace, a place to share and explore Apps built by Airtable’s growing community. Learn more about the six latest apps to join the marketplace, and how you can leverage them in your workflow.
"
How A+E Networks entertains the world with Airtable,https://blog.airtable.com/how-a-e-networks-entertainsthe-world-with-airtable/,"A+E Networks transformed the way they work by creating their own customized workflows on Airtable. Establishing a central source
of truth between their programming and marketing departments allowed A+E to increase agility and move faster to capture new opportunities in the market.
"
What is no-code operations?,https://blog.airtable.com/no-code-operations/,"No-code operations is an evolving job category and skillset within the world of tech. It takes a systems thinking approach to building impactful internal tools—all without the need for code. For some, it's a project. For others, it could become a full-time job.
"
Autodesk and Airtable: making life better for people who make things,https://blog.airtable.com/autodesk-and-airtable-case-study/,"Autodesk needed to streamline operations across their technology centers. When they introduced Airtable, something surprising happened: it brought the company closer together.
"
Celebrating Native American Heritage Month at Airtable,https://blog.airtable.com/celebrating-native-american-heritage-month-at-airtable/,"Airtable is looking forward to celebrating the diversity of cultures and intersectional identities that comprise Native American heritage.
"
"Airtable Employee Spotlight: Jose Martin de Vidales Biurrun, Senior IT Systems Engineer",https://blog.airtable.com/airtable-employee-spotlight-jose-systems-engineer/,"In each Airtable Employee Spotlight, we interview a member of our team. Today, we interview Jose Martin de Vidales Biurrun, our Senior IT Systems Engineer.
"
"""They don’t want to just push buttons. They want to build.""",https://blog.airtable.com/station-f-podcast-howie-liu/,"Airtable's Howie Liu talks with Station F about entrepreneurship and how the nature of work is changing.
"
"Airtable Employee Spotlight: Paola Cordovez Cereceda, Customer Success Manager",https://blog.airtable.com/airtable-employee-spotlight-paola-csm/,"In each Airtable Employee Spotlight, we interview a member of our team. Today, we interview Paola Cordovez Cereceda, a Customer Success Manager.
"
How World Central Kitchen delivered 30 million+ meals to COVID-19 workers using Airtable,https://blog.airtable.com/world-central-kitchen/,"World Central Kitchen was founded by Chef José Andrés after the devastating 2010 Haiti earthquake with the belief that food can heal communities in times of crisis. During the COVID-19 pandemic, WCK used Airtable to deliver over 30 million meals to people in need and frontline workers.
"
How to make your Airtable base work for you with Automations,https://blog.airtable.com/automations-guides/,"Streamline your tasks and processes with a powerful, flexible rules engine that allows you to build custom trigger-and-action sequences on top of your Airtable base—no coding required.
"
"A half billion apps are about to be created. We need more software builders, not just users.",https://blog.airtable.com/airtable-platform-launch-automations-sync-apps/,"Airtable's new platform empowers teams to build exactly what they need, using flexible, powerful tools.
"
How to keep clients in the loop with automatic email notifications,https://blog.airtable.com/automation-recipe-client-requests-emails-2/,"When you’re working with clients through many rounds of revisions, you can end up spending a ton of time sending emails back and forth. Why not set up your Airtable base to do some of that automatically?
"
How to automatically send approval emails without leaving your base,https://blog.airtable.com/automation-recipe-approvals-emails-2/,"Here's how you can use Airtable to automatically send content approval notification emails. All you need to do is update a status field in your base.
"
Latinx & Hispanic Heritage Month at Airtable,https://blog.airtable.com/latinx-hispanic-heritage-month-at-airtable/,"Our team is excited to recognize Latinx and Hispanic culture and to amplify the stories and voices of people from underrepresented backgrounds.
"
Introducing the winners of our first-ever Airtable Blocks Contest,https://blog.airtable.com/airtable-blocks-contest-winners/,"Congratulations to the ten winners of our very first Airtable Blocks Contest.
"
How to create custom notifications for your base,https://blog.airtable.com/automation-recipe-custom-notifications-2/,"Here’s how to use Airtable Automations to stay updated on anything that happens in your base. Customize your own email, Slack, or Microsoft Teams notifications for you, your team, or customers.
"
Announcing Airtable's SOC 2 Type II and ISO 27001 certification,https://blog.airtable.com/soc-2-and-iso27001-certification/,"To support other companies on their security journey, we are open sourcing our custom compliance template.
"
Now available: button field,https://blog.airtable.com/now-available-button-field/,"Schedule a calendar event, send an email, create a custom invoice, generate a report, find stock images, or open a prefilled Airtable form—with just the click of a custom button.
"
How to automatically post to Twitter without leaving your base,https://blog.airtable.com/automation-recipe-publishing-twitter/,"Here’s how to use Airtable Automations to create a social media content calendar that will automatically tweet for you.
"
How to automatically schedule Google Calendar events from Airtable,https://blog.airtable.com/how-to-automatically-schedule-google-calendar-events-from-airtable/,"With Airtable Automations, you can automatically schedule Google Calendar events without ever leaving your Airtable base.
"
We stand with the Black community.,https://blog.airtable.com/we-stand-with-the-black-community/,"At Airtable, we believe unequivocally that Black lives matter.
"
9 templates for a smooth transition to remote work,https://blog.airtable.com/9-templates-for-a-smooth-transition-to-remote-work/,"As a newly remote team, success comes from evolving your workflows, not just changing personal productivity habits. These templates will help you rethink your team’s processes.
"
Extend your work system with 5 new partner blocks,https://blog.airtable.com/extend-your-work-system-with-5-new-partner-blocks/,"Today, we’re delighted to announce that we’ve opened up our blocks platform to five trusted partners to create deeply integrated experiences that combine the power of Airtable with their respective products.
"
4 workflows that take advantage of rich text formatting,https://blog.airtable.com/4-workflows-for-rich-text-formatting/,"Here's four of our favorite use cases for the new formatting options in long text fields.
"
Just launched: Airtable for Education,https://blog.airtable.com/introducing-airtable-for-education/,"A powerful way for students and educators to organize their schedule, workload, commitments, projects—and anything else!
"
Airtable’s support for COVID-19 response efforts,https://blog.airtable.com/airtables-support-for-covid-19-response-efforts/,"Update: we're making Airtable Pro plans available for free—with no time limit—to any non-political humanitarian groups working on COVID-19 relief efforts.
"
Introducing scripting block,https://blog.airtable.com/introducing-scripting-block/,"With the new scripting block, you can reduce the time you spend on repetitive tasks and uncover deeper insights with powerful queries and custom reporting. All it takes is a a bit of JavaScript!
"
"Airtable Employee Spotlight: Lawrence Le Blanc, Business Development Representative",https://blog.airtable.com/airtable-employee-spotlight-lawrence-bdr/,"In each Airtable Employee Spotlight, one member of the Airtable team will interview another member of the team. Today, Wade Morgan, Account Executive, interviews Lawrence Le Blanc, Business Development Representative.
"
Make a better budget with Airtable and the new web clipper block,https://blog.airtable.com/personal-budget-challenge/,"With the new year rapidly approaching, it’s a great time to upgrade your
personal finance management. Here’s how you can get started quickly with a
simple base and track expenses with the new web clipper block
[https://support.airtable.com/docs/web-clipper-extension].

The basic budget base
A budget,
"
How Tranter’s Creek Resort and Campground reimagined property management,https://blog.airtable.com/tranters-creek-resort-campground/,"At first glance, Tranter’s Creek Resort and Campground (TCRC) in North Carolina might look like any other hospitality site, yet the 35-acre campground resort recently made a drastic shift by replacing an outdated booking software with a new and proprietary tool.
"
Web clipper recipe contest: the results are in!,https://blog.airtable.com/web-clipper-recipe-contest-the-results-are-in/,"To celebrate the new web clipper block, we asked our users to share their most interesting recipes. Here are some of our favorites.
"
Exploring the power of process with Cut.com's Chief Strategy Officer,https://blog.airtable.com/cut-power-of-process/,"Chris Rudy, Chief Strategy Officer of Cut.com, a distributed media brand, explores the importance of staying organized in production, and how Airtable helps him achieve just that.
"
Introducing web clipper block,https://blog.airtable.com/introducing-web-clipper-block/,"With our new web clipper block and browser extension, you can send links, images, and more from all over the web directly into a base structured to fit your specific needs.
"
How to clip content from anywhere on the web to Airtable,https://blog.airtable.com/web-clipper-bookmarking/,"New to Airtable's web clipper? Get started with this simple bookmarking tool.
"
Keep your trends close: Inside Trendalytics' retail data platform,https://blog.airtable.com/trendalytics-where-data-meets-design/,"While troves of data on trends and consumer demand signals exist, attempting to distill that information into a successful merchandising strategy can result in “analysis paralysis,” for retailers, as the team at Trendalytics puts it.
"
From insight to action: Global Citizen Year's research database,https://blog.airtable.com/global-citizen-years-research-database/,"Global Citizen Year uses the power of community immersion to unlock curiosity, conviction, and courage in the next generation of leaders.
"
"More music, less noise: how Boiler Room reaches music fans worldwide",https://blog.airtable.com/more-music-less-noise-boiler-room/,"A music streaming platform that reaches upwards of 283 million people a month, Boiler Room strives to bring a unique and valuable experience to artists and fans alike.
"
"From e-commerce grocery to retail pop-ups, Hungryroot delivers on its promise",https://blog.airtable.com/hungryroot-ecommerce-delivery/,"Hungryroot is a personalized grocery service focused on providing healthy meal options. It’s a young and growing business and the team uses Airtable to accomplish a variety of jobs.
"
5 questions to ask before starting in a spreadsheet,https://blog.airtable.com/5-questions-to-ask-before-starting-project-management-in-a-spreadsheet/,"We often use spreadsheets because they're simple, easily customizable, and can keep things organized. But, sometimes, they can actually create more work for you.
"
VidCon 2019: 5 themes that emerged,https://blog.airtable.com/vidcon-2019-top-5-themes/,"Out of the variety of speakers and hosted panels, we’ve rounded up the key themes dominating the conversation this year.
"
VidCon 2019: content that places purpose before targets,https://blog.airtable.com/vidcon-2019-content-takeaways/,"Ten years since its inaugural event, VidCon is a fixture in the world of digital content, branding, and marketing. Here are some takeaways on content creation, straight from the stage.
"
API content series: Frame.ai's fully integrated conversation analysis tool,https://blog.airtable.com/api-content-series-frameai-conversation-analysis/,"Frame.ai aggregates customer feedback across various tools to find actionable nuggets. This is in part done by bolting their product onto Airtable and Slack.
"
Create a daily email digest of updates from your Airtable base,https://blog.airtable.com/create-a-daily-email-digest-of-updates-with-zapier/,"Here's how to use Zapier to automatically generate a daily digest of what's changed in Airtable.
"
Swap your siloed spreadsheet for a product roadmap that's always in sync,https://blog.airtable.com/convert-product-roadmap-spreadsheet-into-airtable-base/,"Follow these 4 easy steps to create a single hub for your calendar, task lists, Gantt charts, and more.
"
How to create Airtable records with any form,https://blog.airtable.com/how-to-create-airtable-records-with-your-favorite-forms-app/,"A step-by-step guide to creating Airtable records with the form of your choice.
"
Keeping your calendar in sync with Airtable,https://blog.airtable.com/keeping-your-calendar-in-sync-with-airtable/,"Want to sync your calendar app with Airtable? Here are all the ways you can set that up.
"
Go from spreadsheet woes to powerful prose with this content calendar solution,https://blog.airtable.com/convert-your-content-calendar-spreadsheet-into-an-airtable-base/,"Follow these 4 simple steps to transform your spreadsheet into the command center your team really needs.
"
Introducing Gantt block,https://blog.airtable.com/introducing-gantt-block/,"Use the new Gantt block to visualize dependencies and get a high-level view of what needs to be done, when.
"
Design thinking first: how Frame.io runs their content production,https://blog.airtable.com/how-frame-ios-culture-of-design-drives-efficiency/,"In today’s entrepreneurial culture, good design is of paramount importance. Design thinking is based on the idea that form and functionality aren’t so different, and good design is at the heart of a frustration-free experience.
"
On-the-go organization: Startup Grind's ever-evolving events planning system,https://blog.airtable.com/the-use-it-for-anything-events-planning-tool/,"Startup Grind isn't just an online community. The global collective of entrepreneurs has spread to over 600 chapters around the globe, and members meet regularly at local meetups.
"
Airtable formula contest: the results are in!,https://blog.airtable.com/march-formula-contest-results/,"We asked our users to share their most useful, creative, and imaginative formulas. Here are three of our favorites.
"
They've got just the ticket: how New York City Ballet manages their marketing pipeline,https://blog.airtable.com/just-the-ticket-new-york-city-ballet/,"New York City Ballet continues to push creative boundaries, staging more than 60 ballets a year at Lincoln Center, many of which are new commissions.
"
"How the Mingei Museum moved 26,000 pieces of art (without a hitch)",https://blog.airtable.com/how-mingei-international-museum-moved-26000-pieces-of-art/,"Faced with the monumental task of relocating their entire catalog, The Mingei International Museum took a tech-centric approach.
"
3 improvements to Airtable forms launching today,https://blog.airtable.com/3-improvements-to-airtable-forms-launching-today/,"Refine your forms even further by limiting what the people filling them out can see.
"
Send Slack messages straight to Airtable with Zapier's new Slack Action,https://blog.airtable.com/new-zapier-slack-action/,"With the new Zapier Slack Action, you can instantly send important ideas, tasks, files, and more to Airtable without leaving Slack.
"
How to add to Airtable directly from Slack with Zapier Slack Actions,https://blog.airtable.com/how-to-add-to-airtable-directly-from-slack-with-zapier/,"No need to worry about misplacing important Slack messages or saving them as tasks. Just automate the process with Airtable and Zapier.
"
How Clover Health's L&D team designs a robust training curriculum,https://blog.airtable.com/how-clover-health-designs-a-robust-training-curriculum/,"Clover Health is a HealthTech startup that seeks to improve the state of healthcare in America. Their technology reduces friction between physicians, insurers, and patients, to ultimately create a system where doctors can focus on the people–not the paperwork.
"
3 tips for onboarding your team to a new process,https://blog.airtable.com/3-tips-for-onboarding-your-team-to-a-new-process/,"To implement a new process successfully, you need to give your teammates the resources they need to succeed. Here's how to do it.
"
Training employees across three time zones: inside Galileo Learning's curriculum development,https://blog.airtable.com/2-500-staffers-85-summer-camps-inside-galileo-learnings-remote-training-and-development/,"Every summer, tens of thousands of campers converge on Galileo Learning's 85 camps.
"
7 fantastic time-saving Airtable substitution formulas,https://blog.airtable.com/time-saving-substitution-formulas/,"Use these powerful formulas to take control of your data and open up new possibilities in your workflows.
"
Achieve your New Year's goals with Airtable,https://blog.airtable.com/achieve-your-new-years-goals/,"We all love to set goals in the new year, and with Airtable you might find it easier than ever to check achievements off this year's list.
"
How The Players' Tribune helps athletes find their voice off the field,https://blog.airtable.com/how-the-players-tribune-helps-athletes-find-their-voice-off-the-field/,"An excerpt from Digiday's ""Humans at Work"" series, brought to you by Airtable.
"
Airtable holiday planning templates are here!,https://blog.airtable.com/airtable-holiday-planning/,"With the holiday season upon us, wrangling your loved ones' addresses, pie preferences, and last-minute travel schedules can seem like a daunting task.
"
Airtable x HubSpot: Your Complete Guide to Sales Enablement Content,https://blog.airtable.com/airtable-x-hubspot-ebook/,"We're excited to announce the launch of our second ebook, ""Your Complete Guide to Sales Enablement Content""!
"
From an Airtable base to an office space: Zenbooth's high-fidelity manufacturing process,https://blog.airtable.com/zenbooths-high-fidelity-manufacturing-process/,"Zenbooth was founded in 2016 to solve a problem that's common in the open offices of fast-growing companies and coworking spaces: noise.
"
How Outdoor Voices became the fitness apparel brand for every body,https://blog.airtable.com/how-outdoor-voices-become-the-fitness-brand-for-every-body/,"An excerpt from Digiday's ""Humans at Work"" series, brought to you by Airtable.
"
"How Netflix, Atlantic Records, and TIME stay ahead of an evolving industry",https://blog.airtable.com/how-netflix-atlantic-records-and-meredith-stay-ahead-of-an-evolving-industry/,"In today’s rapidly evolving media and entertainment landscape, there’s only one true constant: people want more.
"
Plan the Friendsgiving of your dreams in Airtable,https://blog.airtable.com/plan-the-friendsgiving-of-your-dreams/,"Friendsgiving—it's an amazing way to celebrate the holidays with your loved ones, even when you're far from home.
"
Sustainably sourced: how the James Beard Foundation supports chef education,https://blog.airtable.com/sustainably-sourced-how-the-james-beard-foundation-supports-chef-education/,"The James Beard Foundation seeks to continue James Beard's legacy by celebrating American chefs and educating the food community on sustainable practices.
"
The top 10 time-saving Airtable date formulas,https://blog.airtable.com/the-top-10-time-saving-airtable-date-formulas/,"Use these powerful formulas to stay on top of due dates and deadlines.
"
"5 great ways to manage, plan, and track your content",https://blog.airtable.com/5-great-ways-to-manage-plan-and-track-your-content/,"Starting from scratch can be a daunting task, but a little inspiration can go a long way.
"
How building their own newsroom CMS helped Speak Media transform Barclays' content operations,https://blog.airtable.com/how-building-their-own-cms-helped-speak-media-scale-faster/,"End-to-end content production requires tightly coordinated tools and processes – which is why Speak Media turned to Airtable.
"
Design in context: Airtable for Adobe XD is now available!,https://blog.airtable.com/introducing-airtable-for-adobe-xd/,"With the Airtable for Adobe XD plugin, you can iterate on your designs quickly—using real content from your Airtable bases.
"
Create a button that pulls content directly into Airtable,https://blog.airtable.com/create-button-pulls-content-into-airtable-zapier-push/,"Replace tedious typing with one push of a button.
"
Building a better event management workflow,https://blog.airtable.com/a-better-event-management-workflow/,"Start with one of Airtable's event management templates, and you'll have a tool that you can easily customize to fit the specifics of your workflow.
"
