Title,Title_URL,Image,text_text_cg3pf,jsx5c8d5b4bcc2ebe5b
Full page vs. inline databases,https://www.notion.so/help/guides/full-page-vs-inline-databases,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7j6ATbu2ln8ItCgNQYyg7o/94b8cd7f8671bde645fb445e4a22c839/full-page-vs-inline-databases.png",Databases are the key to unlocking some of Notion's most powerful features. The inline and full-page views give you even more flexibility!,
Gallery view databases,https://www.notion.so/help/guides/gallery-view-databases,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2DsgBwCZvfLlWDX5mkHJcE/514aa2abce442bce1c600b98ef6e66e4/gallery-view-databases.png","Galleries are Notion's most visual database view. Use them to showcase beautiful photos for mood boards, team directories, vacation photos and more.",
Get organized for a new semester with Notion,https://www.notion.so/help/guides/get-organized-for-a-new-semester-with-notion,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3YwyeOwOawnbewWtCdcRo9/bd05c3dd89c8bdf416389698b7f1699f/back_to_school.png","Learn how to use Notion to create a dashboard for student life, take and organize class notes, collect resources and references, and manage everyday tasks — from shared chores to shopping lists.",10 min read
Getting started for teams,https://www.notion.so/help/guides/notion-101-getting-started-for-teams,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5nthpiAJ7bIb2BFTiGlw7I/d91077cf5d9597500b112abbd1f35e08/getting-started-for-teams.png","Just getting started with Notion? You're in the right place. In this quick 30 minute session, you'll learn how to get organized (and stay organized) by customizing the settings and sidebar of your Notion workspace.",
Getting started with page customization,https://www.notion.so/help/guides/getting-started-with-page-customization,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/uDs4kZ4FbBbGoOKB4ylTt/e8abeea66031aff4026f6d99e63d9364/Making_pages_beautiful__1_.png",Discover the art of page customization with our Notion guide. Learn how to enhance your pages' visual appeal with our tutorial video. Master the art of creating eye-catching content that will captivate your audience.,
Getting started with projects and tasks,https://www.notion.so/help/guides/getting-started-with-projects-and-tasks,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/67VES2Vwkoffp14lJdfinT/448c6380dfac8233201367124dbfa529/getting-started-projects__1_.png",Projects and tasks live side by side with your notes and docs for a seamless project management experience. Learn more about how to get started. ,8 min read
Getting started with templates for your team,https://www.notion.so/help/guides/getting-started-with-templates-for-your-team,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1z1eXj9YWBa4RlcDRWAlKm/9e66a186903daddd7fdd485d5e22ec75/getting-started-templates.png","Try adding templates to your workspace. These powerful databases will help you jump start page creation, and inspire you to create your own Notion workflows.",
Grow with quality using these systems to track applicants and onboard new hires,https://www.notion.so/help/guides/grow-with-quality-using-these-systems-to-track-applicants-and-onboard-new-hires,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6LquZbKwZr9mPhGknSCyQT/891097046c915e2b6c5ff4ef30fd0114/grow-with-quality.png","These two systems are built on the same foundation in Notion. They centralize all the important info for applicants and new employees, saving you — and everyone on your team — valuable time in the hiring and onboarding processes.",16 min read
Grow your startup: A Notion guide to applicant tracking systems,https://www.notion.so/help/guides/grow-your-startup-a-notion-guide-to-applicant-tracking-systems,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/Pxi5o7cOaaRSGYbRxPtHf/306752179f04c8b6c7ea49f156e56f9f/grow_your_startup_with_this_applicant_tracking_system.png","Discover how to supercharge your startup's growth with our detailed Notion guide on leveraging applicant tracking systems. Improve your hiring process, attract top talent, and elevate your business to new heights. ",
Hosting job listings and collecting applications: A Notion guide for startups,https://www.notion.so/help/guides/hosting-job-listings-and-collecting-applications-a-notion-guide-for-startups,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2zX57xqXuNmn2YQZDK133P/aeba2edd9b229cb40705953cc97f1d53/job_board.png","Discover how to streamline your startup's hiring process with our Notion guide. Learn step-by-step how to set up an easy-to-update job board, host job listings, and collect applications, attracting top talent effortlessly.",
How engineering and product teams use Notion for sprint planning,https://www.notion.so/help/guides/product-engineering-notion-sprint-planning,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5SiM5Awzc90svSyO70kezJ/a549ecf2b982d290385a318183505de8/Sprints__4_.png","Manage sprint-based work with custom views and task automations. Plus, connect to your company docs, meeting notes, GitHub repository, and more — all boosted by AI.  ",10 min read
How managers get a clear view of what everyone’s working on in Notion,https://www.notion.so/help/guides/managers-view-what-everyones-working-on,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6A3AsoVO7WaazBQ118hK7B/388670861f8a1d6471e99be9172e36b7/notion-for-managers.png","Managers have a lot on their plates and the last thing they need is more tools. Learn how to manage 1:1s, meetings, docs, and tasks all in one place. ",11 min read
How marketing and sales teams can enhance creativity and productivity with Notion AI,https://www.notion.so/help/guides/how-marketing-and-sales-teams-can-enhance-creativity-and-productivity-with,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5qQw1hdAqoXfd56YJPfZoO/f08b49b7a8cf52c6d869ace0b6c842e3/AI_Marketing__1_.png","Explore how to use Notion AI to optimize your marketing and sales efforts to gather more leads, better understand your customers, and close more deals.",9 min read
How Mixpanel built a custom engineering roadmap in Notion,https://www.notion.so/help/guides/how-mixpanel-built-a-custom-engineering-roadmap-in-notion,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4oPlLrb0QPLX4ZKcNZxDyH/4cba3a6808ef68ec566c51e1d5204a3d/mixpanel-webinar__1_.png","Mixpanel's engineering and product teams use Notion to move all projects forward remotely, from daily standups to roadmapping together. Get an insider tour of their team's workspace.",
How Notion can help your marketing team stay organized and efficient,https://www.notion.so/help/guides/how-notion-can-help-your-marketing-team-stay-organized-and-efficient,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2jTJRugmAlZsrGs6YLtSPS/10054c402ba61aa8c5e7608b3c7b3fc5/marketing_consolidation.png","Working in disparate tools is costly and wastes time. Consolidate marketing projects, docs, and wiki into a seamless hub for work with Notion.",12 min read
How product teams boost productivity and spark new ideas with Notion AI,https://www.notion.so/help/guides/how-product-teams-boost-productivity-and-spark-new-ideas-with-notion-ai,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2vcpd78AFAC8SgXhOYW1DL/370b40a10cc0947cbd381cb8f9be4a4a/AI_Product.png","Explore ways product teams can use artificial intelligence to enhance their productivity, creativity, and workflow efficiency.",10 min read
How startups conduct user research using Notion,https://www.notion.so/help/guides/how-startups-conduct-user-research-using-notion,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1sOW0eBVJxYgpi6KozZvXx/92e412105bc3603286974463a70b6fd2/startup-user-research.png","User research is key to growing your startup. With this system in Notion, you can create a home for all interviews, categorize them, and use templates to standardize your interview processes.",
How teams can use comments for better collaboration,https://www.notion.so/help/guides/how-teams-can-use-comments-for-better-collaboration,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2oT6UWH30VvfWeP83mYvsF/62b10a60f7d668a4c4141c6eb49b3c45/comments-and-discussions.png","Whether it’s different departments at your company, sub-teams, or external partners, Notion comments enable cross-functional collaboration. ",6 min read
How to build a help center in Notion,https://www.notion.so/help/guides/how-to-build-a-help-center-in-notion,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3urAGzoy9pUAXEL2X48alB/947c574d4e9b43b709d42210f7a6f6f7/how-to-build-help-center.png","Looking for an easy, no-frills way to set up a Help Center for your growing community of users? This video will show you how to build an external Help Center in Notion, and instantly publish it to the web.",
How to build a wiki for your company,https://www.notion.so/help/guides/how-to-build-a-wiki-for-your-company,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4JjXMwbVSSySdE9Uqbf3JA/d0284e0a95c5a0a496f41be857729578/how-to-build-a-wiki.png","Your wiki is home to all your company’s most important information. With Notion, you can centralize and customize it — to make sure your team can easily access and use it.",7 min read
How to build a wiki for your design team,https://www.notion.so/help/guides/how-to-build-a-wiki-for-your-design-team,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/3YFPFeJee1xFVyr2NFKsKj/4909ec5a47ba973136a2f0d389d555a2/how-to-build-a-design-wiki.png","Consistency is key for design teams. With Notion, you can build a wiki that brings together all your design team’s most important information, from style guides to process docs — so everyone on your team is executing off the same playbook.",12 min read
How to build a wiki for your engineering team,https://www.notion.so/help/guides/how-to-build-a-wiki-for-your-engineering-team,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7spupLB91yqANB7byxCBL4/2b7c4b3a66c02c69d144e4ceaebfd0a4/placeholder-guide-thumb-2.png",Engineers need a certain set of tools and processes to do their work. A custom wiki built in Notion lets you centralize all your eng team’s most important information.,7 min read
How to build a wiki for your product team,https://www.notion.so/help/guides/how-to-build-a-wiki-for-your-product-team,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/2RTpEuNu3lf9Gx0LVBcoy1/83119c705c66053339499cde7d7e7004/how-to-build-a-product-wiki.png",Product teams are often juggling a bunch of important material because their work is so cross-functional. A wiki built in Notion centralizes it all and makes it easily-accessible.,13 min read
How to build an effective go-to-market (GTM) plan,https://www.notion.so/help/guides/how-to-build-a-go-to-market-gtm-plan,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/1cHVR5rVIGZ2QfIcP5EWxy/081ed3791c48a3a7ccb185b072a10ade/gtm-plan.png","Discover how to create a successful go-to-market plan on our Notion guides. Our tutorial video breaks down the process step-by-step, making it ideal for anyone preparing to launch a product or service. Learn to effectively reach your target audience.",
How to create a content calendar for your marketing team,https://www.notion.so/help/guides/this-content-calendar-drives-high-performance-marketing-teamwork,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7023EjgL58VSllSmRjcsHP/9560de5143aacf9a0b89fb7c7f4ed171/content_calendar.png",One place for all your marketing team’s content — from deadlines and blog drafts to social media posts and podcast audio.,12 min read
How to create a digital office for remote work,https://www.notion.so/help/guides/how-to-create-a-digital-office-for-remote-work,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/anMTz47G61XB7GfnsBujV/daebc7c134c48cbae1eeda2d6a2838fb/remote-webinar.png","Create crucial alignment for your remote employees and build workflows proven to boost productivity and connection. This video tour is hosted by the Notion team, who harnessed insights from dozens of teams.
",
How to create new pages as you type,https://www.notion.so/help/guides/how-to-create-new-pages-as-you-type,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4ETxbrNIJpu8ZK4UtHFEAP/cc47adfe6dc8d93226c8b1a58c167bd3/Creating_new_pages_as_you_type__1_.png","When you're writing or taking notes, it's important not to lose your train of thought. In this Notion guide, we'll show you how to create new pages in your workspace, without leaving your keyboard. Ideal for Notion beginners or those wanting to enhance their productivity. ",
How to create OKRs,https://www.notion.so/help/guides/how-to-create-okrs,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/45bqvIZTcNE0dXo29eFOVU/958a93b40955456961f63534a3421a3a/okrs.png","Using this framework for goal setting, your team can assign key results, timelines, owners, and more to these objectives. Plan, track, and organize goals in one place — so your team hits them. ",
How to join your team that’s using Notion,https://www.notion.so/help/guides/how-to-join-your-team-thats-using-notion,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/26snrOuFbCU9HEugbkw0lz/b4163e634db988d680223bb3261f32e2/joining-your-team-using-notion.png","If you’re joining a team that is already using Notion, here’s your guide to getting started. We take a look at some pages, databases, and features to get you oriented.",
How to set up your Notion workspace for your team,https://www.notion.so/help/guides/how-to-set-up-your-notion-workspace-for-your-team,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/51zBDjO8TvbdzPkd6dHud2/456f2194b0974b185483b383679cc3db/setting-up-your-workspace.png",Create a framework that sets your team up for success.,7 min read
How to use and customize the sidebar with teamspaces,https://www.notion.so/help/guides/how-to-use-and-customize-the-sidebar-with-teamspaces,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/490OzLGBNriaoGRNse0oCK/f40fe0acbddfb3081ab91fc4241a3633/Navigate_the_sidebar_and_join_teamspaces.png","Discover the ins and outs of Notion's sidebar and teamspaces in our video guide. Whether you're a new user or seeking to enhance your Notion experience, this tutorial video is your key to navigating your workspace with ease.",
How to use Notion for your startup: Templates and more,https://www.notion.so/help/guides/how-to-use-notion-for-your-startup-templates-and-more,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/6dAVVDcxk77wMiypGkZiYc/f8e6d7e0921ffc3b72d1e3d5685d79d5/Startup_in_a_box__4_.png","Discover how to launch your startup with our comprehensive Notion guide. Our tutorial video ""Startup in a Box"" provides step-by-step instructions to kickstart your entrepreneurial journey.",
How to use the Notion Template Gallery,https://www.notion.so/help/guides/how-to-use-notion-template-gallery,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/74FTXXbJBLmL1sUfDf3kCI/4ee3e5cde009308ce20e1b7feff8b6bd/how-to-template-gallery__1_.png","The Notion template gallery is home to some of the best Notion pages made by our team and community. Learn how you can bring these templates into your space, or contribute your own.",
How visual link previews can streamline team collaboration,https://www.notion.so/help/guides/visual-link-previews-streamline-collaboration,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/5xzFMxsh9TrO14NqFKee8Q/102f1260cfdc220f997cb0cd0ac781c2/visual-link-previews.png",Link previews unite teams by giving them access to scattered information they need to execute — without ever leaving Notion.,7 min read
How workspace owners can set up teamspaces for their organization,https://www.notion.so/help/guides/how-workspace-owners-can-set-up-teamspaces-for-their-organization,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/7A2upEzKQCUKunD2y1AWwr/2f427c0d64ef5dcc8273e86f5ea426e3/workspace-owner-teamspaces.png","As a workspace owner, you can ensure that all of your teammates have the right level of access to content they need throughout your workspace. If you want to start taking better advantage of this feature, here's what you need to know.",7 min read
Intro to Timeline view,https://www.notion.so/help/guides/intro-to-timeline-view,"https://www.notion.so/cdn-cgi/image/format=webp,width=3840/https://images.ctfassets.net/spoqsaf9291f/4MyLZ2J7vvUizZ6KlnSaWJ/fa7bc2d38f1d5e83c097722eeb9c5e8d/intro-timeline.png","Timeline is a new type of Notion database that’s way more than a Gantt chart. It gives you complete flexibility to scope projects, adjust their timelines, and customize your workflow.",
